"Source:","D:\Ben\FrankenAmp\FrankenAmpOverDrive\FrankenAmpOverDrive.kicad_sch"
"Date:","2022/07/10 15:17:12"
"Tool:","Eeschema (6.0.4)"
"Generator:","D:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","21"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","47 μF","Device:C_Polarized_Small_US","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"","","C2","470 nF","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"","","C3","220 nF","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"","","C4","100 pF","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"","","C5","47 μF","Device:C_Polarized_Small_US","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"","","C6","1 μF","Device:C_Polarized_Small_US","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"","","C7","22 nF","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"","","D1","1N4148","Device:D","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"","","D2","1N4148","Device:D","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"","","J1","Input","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"","","J2","Output","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"","","J3","9V DC","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"","","R1","10KΩ","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal","~"
"","","R2","10KΩ","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal","~"
"","","R3","10KΩ","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal","~"
"","","R4","1MΩ","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal","~"
"","","R5","1 KΩ","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal","~"
"","","RV1","500 KΩ","Device:R_Potentiometer","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"","","RV2","10 KΩ","Device:R_Potentiometer","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"","","RV3","100 KΩ","Device:R_Potentiometer","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"","","U1","TL082","Amplifier_Operational:TL082","Package_DIP:DIP-8_W10.16mm","http://www.ti.com/lit/ds/symlink/tl081.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","2","C1, C5","47 μF","Device:C_Polarized_Small_US","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"2","1","C2","470 nF","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"3","1","C3","220 nF","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"4","1","C4","100 pF","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"5","1","C6","1 μF","Device:C_Polarized_Small_US","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"6","1","C7","22 nF","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"7","2","D1, D2","1N4148","Device:D","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"8","1","J1","Input","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"9","1","J2","Output","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"10","1","J3","9V DC","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"11","3","R1, R2, R3","10KΩ","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal","~"
"12","1","R4","1MΩ","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal","~"
"13","1","R5","1 KΩ","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal","~"
"14","1","RV1","500 KΩ","Device:R_Potentiometer","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"15","1","RV2","10 KΩ","Device:R_Potentiometer","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"16","1","RV3","100 KΩ","Device:R_Potentiometer","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"17","1","U1","TL082","Amplifier_Operational:TL082","Package_DIP:DIP-8_W10.16mm","http://www.ti.com/lit/ds/symlink/tl081.pdf"
